,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,Continent,Country,Alpha-3 code,Lat,Long
0,2020,MI,FT,Data Scientist,70000,EUR,79833,DE,0,DE,L,Europe,Germany,DEU,51,9
1,2020,SE,FT,Machine Learning Scientist,260000,USD,260000,JP,0,JP,S,Asia,Japan,JPN,36,138
2,2020,SE,FT,Big Data Engineer,85000,GBP,109024,GB,50,GB,M,Europe,United Kingdom,GBR,54,-2
3,2020,MI,FT,Product Data Analyst,20000,USD,20000,HN,0,HN,S,Americas,Honduras,HND,15,-86.5
4,2020,SE,FT,Machine Learning Engineer,150000,USD,150000,US,50,US,L,Americas,United States,USA,38,-97
5,2020,EN,FT,Data Analyst,72000,USD,72000,US,100,US,L,Americas,United States,USA,38,-97
6,2020,SE,FT,Lead Data Scientist,190000,USD,190000,US,100,US,S,Americas,United States,USA,38,-97
7,2020,MI,FT,Data Scientist,11000000,HUF,35735,HU,50,HU,L,Europe,Hungary,HUN,47,20
8,2020,MI,FT,Business Data Analyst,135000,USD,135000,US,100,US,L,Americas,United States,USA,38,-97
9,2020,SE,FT,Lead Data Engineer,125000,USD,125000,NZ,50,NZ,S,Oceania,New Zealand,NZL,-41,174
10,2020,EN,FT,Data Scientist,45000,EUR,51321,FR,0,FR,S,Europe,France,FRA,46,2
11,2020,MI,FT,Data Scientist,3000000,INR,40481,IN,0,IN,L,Asia,India,IND,20,77
12,2020,EN,FT,Data Scientist,35000,EUR,39916,FR,0,FR,M,Europe,France,FRA,46,2
13,2020,MI,FT,Lead Data Analyst,87000,USD,87000,US,100,US,L,Americas,United States,USA,38,-97
14,2020,MI,FT,Data Analyst,85000,USD,85000,US,100,US,L,Americas,United States,USA,38,-97
15,2020,MI,FT,Data Analyst,8000,USD,8000,PK,50,PK,L,Asia,Pakistan,PAK,30,70
16,2020,EN,FT,Data Engineer,4450000,JPY,41689,JP,100,JP,S,Asia,Japan,JPN,36,138
17,2020,SE,FT,Big Data Engineer,100000,EUR,114047,PL,100,GB,S,Europe,United Kingdom,GBR,54,-2
18,2020,EN,FT,Data Science Consultant,423000,INR,5707,IN,50,IN,M,Asia,India,IND,20,77
19,2020,MI,FT,Lead Data Engineer,56000,USD,56000,PT,100,US,M,Americas,United States,USA,38,-97
20,2020,MI,FT,Machine Learning Engineer,299000,CNY,43331,CN,0,CN,M,Asia,China,CHN,35,105
21,2020,MI,FT,Product Data Analyst,450000,INR,6072,IN,100,IN,L,Asia,India,IND,20,77
22,2020,SE,FT,Data Engineer,42000,EUR,47899,GR,50,GR,L,Europe,Greece,GRC,39,22
23,2020,MI,FT,BI Data Analyst,98000,USD,98000,US,0,US,M,Americas,United States,USA,38,-97
24,2020,MI,FT,Lead Data Scientist,115000,USD,115000,AE,0,AE,L,Asia,United Arab Emirates,ARE,24,54
25,2020,EX,FT,Director of Data Science,325000,USD,325000,US,100,US,L,Americas,United States,USA,38,-97
26,2020,EN,FT,Research Scientist,42000,USD,42000,NL,50,NL,L,Europe,Netherlands,NLD,52.5,5.75
27,2020,SE,FT,Data Engineer,720000,MXN,33511,MX,0,MX,S,Americas,Mexico,MEX,23,-102
28,2020,EN,CT,Business Data Analyst,100000,USD,100000,US,100,US,L,Americas,United States,USA,38,-97
29,2020,SE,FT,Machine Learning Manager,157000,CAD,117104,CA,50,CA,L,Americas,Canada,CAN,60,-95
30,2020,MI,FT,Data Engineering Manager,51999,EUR,59303,DE,100,DE,S,Europe,Germany,DEU,51,9
31,2020,EN,FT,Big Data Engineer,70000,USD,70000,US,100,US,L,Americas,United States,USA,38,-97
32,2020,SE,FT,Data Scientist,60000,EUR,68428,GR,100,US,L,Americas,United States,USA,38,-97
33,2020,MI,FT,Research Scientist,450000,USD,450000,US,0,US,M,Americas,United States,USA,38,-97
34,2020,MI,FT,Data Analyst,41000,EUR,46759,FR,50,FR,L,Europe,France,FRA,46,2
35,2020,MI,FT,Data Engineer,65000,EUR,74130,AT,50,AT,L,Europe,Austria,AUT,47.3333,13.3333
36,2020,MI,FT,Data Science Consultant,103000,USD,103000,US,100,US,L,Americas,United States,USA,38,-97
37,2020,EN,FT,Machine Learning Engineer,250000,USD,250000,US,50,US,L,Americas,United States,USA,38,-97
38,2020,EN,FT,Data Analyst,10000,USD,10000,NG,100,NG,S,Africa,Nigeria,NGA,10,8
39,2020,EN,FT,Machine Learning Engineer,138000,USD,138000,US,100,US,S,Americas,United States,USA,38,-97
40,2020,MI,FT,Data Scientist,45760,USD,45760,PH,100,US,S,Americas,United States,USA,38,-97
41,2020,EX,FT,Data Engineering Manager,70000,EUR,79833,ES,50,ES,L,Europe,Spain,ESP,40,-4
42,2020,MI,FT,Machine Learning Infrastructure Engineer,44000,EUR,50180,PT,0,PT,M,Europe,Portugal,PRT,39.5,-8
43,2020,MI,FT,Data Engineer,106000,USD,106000,US,100,US,L,Americas,United States,USA,38,-97
44,2020,MI,FT,Data Engineer,88000,GBP,112872,GB,50,GB,L,Europe,United Kingdom,GBR,54,-2
45,2020,EN,PT,ML Engineer,14000,EUR,15966,DE,100,DE,S,Europe,Germany,DEU,51,9
46,2020,MI,FT,Data Scientist,60000,GBP,76958,GB,100,GB,S,Europe,United Kingdom,GBR,54,-2
47,2020,SE,FT,Data Engineer,188000,USD,188000,US,100,US,L,Americas,United States,USA,38,-97
48,2020,MI,FT,Data Scientist,105000,USD,105000,US,100,US,L,Americas,United States,USA,38,-97
49,2020,MI,FT,Data Engineer,61500,EUR,70139,FR,50,FR,L,Europe,France,FRA,46,2
50,2020,EN,FT,Data Analyst,450000,INR,6072,IN,0,IN,S,Asia,India,IND,20,77
51,2020,EN,FT,Data Analyst,91000,USD,91000,US,100,US,L,Americas,United States,USA,38,-97
52,2020,EN,FT,AI Scientist,300000,DKK,45896,DK,50,DK,S,Europe,Denmark,DNK,56,10
53,2020,EN,FT,Data Engineer,48000,EUR,54742,PK,100,DE,L,Europe,Germany,DEU,51,9
54,2020,SE,FL,Computer Vision Engineer,60000,USD,60000,RU,100,US,S,Americas,United States,USA,38,-97
55,2020,SE,FT,Principal Data Scientist,130000,EUR,148261,DE,100,DE,M,Europe,Germany,DEU,51,9
56,2020,MI,FT,Data Scientist,34000,EUR,38776,ES,100,ES,M,Europe,Spain,ESP,40,-4
57,2020,MI,FT,Data Scientist,118000,USD,118000,US,100,US,M,Americas,United States,USA,38,-97
58,2020,SE,FT,Data Scientist,120000,USD,120000,US,50,US,L,Americas,United States,USA,38,-97
59,2020,MI,FT,Data Scientist,138350,USD,138350,US,100,US,M,Americas,United States,USA,38,-97
60,2020,MI,FT,Data Engineer,110000,USD,110000,US,100,US,L,Americas,United States,USA,38,-97
61,2020,MI,FT,Data Engineer,130800,USD,130800,ES,100,US,M,Americas,United States,USA,38,-97
62,2020,EN,PT,Data Scientist,19000,EUR,21669,IT,50,IT,S,Europe,Italy,ITA,42.8333,12.8333
63,2020,SE,FT,Data Scientist,412000,USD,412000,US,100,US,L,Americas,United States,USA,38,-97
64,2020,SE,FT,Machine Learning Engineer,40000,EUR,45618,HR,100,HR,S,Europe,Croatia,HRV,45.1667,15.5
65,2020,EN,FT,Data Scientist,55000,EUR,62726,DE,50,DE,S,Europe,Germany,DEU,51,9
66,2020,EN,FT,Data Scientist,43200,EUR,49268,DE,0,DE,S,Europe,Germany,DEU,51,9
67,2020,SE,FT,Data Science Manager,190200,USD,190200,US,100,US,M,Americas,United States,USA,38,-97
68,2020,EN,FT,Data Scientist,105000,USD,105000,US,100,US,S,Americas,United States,USA,38,-97
69,2020,SE,FT,Data Scientist,80000,EUR,91237,AT,0,AT,S,Europe,Austria,AUT,47.3333,13.3333
70,2020,MI,FT,Data Scientist,55000,EUR,62726,FR,50,LU,S,Europe,Luxembourg,LUX,49.75,6.1667
71,2020,MI,FT,Data Scientist,37000,EUR,42197,FR,50,FR,S,Europe,France,FRA,46,2
72,2021,EN,FT,Research Scientist,60000,GBP,82528,GB,50,GB,L,Europe,United Kingdom,GBR,54,-2
73,2021,EX,FT,BI Data Analyst,150000,USD,150000,IN,100,US,L,Americas,United States,USA,38,-97
74,2021,EX,FT,Head of Data,235000,USD,235000,US,100,US,L,Americas,United States,USA,38,-97
75,2021,SE,FT,Data Scientist,45000,EUR,53192,FR,50,FR,L,Europe,France,FRA,46,2
76,2021,MI,FT,BI Data Analyst,100000,USD,100000,US,100,US,M,Americas,United States,USA,38,-97
77,2021,MI,PT,3D Computer Vision Researcher,400000,INR,5409,IN,50,IN,M,Asia,India,IND,20,77
78,2021,MI,CT,ML Engineer,270000,USD,270000,US,100,US,L,Americas,United States,USA,38,-97
79,2021,EN,FT,Data Analyst,80000,USD,80000,US,100,US,M,Americas,United States,USA,38,-97
80,2021,SE,FT,Data Analytics Engineer,67000,EUR,79197,DE,100,DE,L,Europe,Germany,DEU,51,9
81,2021,MI,FT,Data Engineer,140000,USD,140000,US,100,US,L,Americas,United States,USA,38,-97
82,2021,MI,FT,Applied Data Scientist,68000,CAD,54238,GB,50,CA,L,Americas,Canada,CAN,60,-95
83,2021,MI,FT,Machine Learning Engineer,40000,EUR,47282,ES,100,ES,S,Europe,Spain,ESP,40,-4
84,2021,EX,FT,Director of Data Science,130000,EUR,153667,IT,100,PL,L,Europe,Poland,POL,52,20
85,2021,MI,FT,Data Engineer,110000,PLN,28476,PL,100,PL,L,Europe,Poland,POL,52,20
86,2021,EN,FT,Data Analyst,50000,EUR,59102,FR,50,FR,M,Europe,France,FRA,46,2
87,2021,MI,FT,Data Analytics Engineer,110000,USD,110000,US,100,US,L,Americas,United States,USA,38,-97
88,2021,SE,FT,Lead Data Analyst,170000,USD,170000,US,100,US,L,Americas,United States,USA,38,-97
89,2021,SE,FT,Data Analyst,80000,USD,80000,BG,100,US,S,Americas,United States,USA,38,-97
90,2021,SE,FT,Marketing Data Analyst,75000,EUR,88654,GR,100,DK,L,Europe,Denmark,DNK,56,10
91,2021,EN,FT,Data Science Consultant,65000,EUR,76833,DE,100,DE,S,Europe,Germany,DEU,51,9
92,2021,MI,FT,Lead Data Analyst,1450000,INR,19609,IN,100,IN,L,Asia,India,IND,20,77
93,2021,SE,FT,Lead Data Engineer,276000,USD,276000,US,0,US,L,Americas,United States,USA,38,-97
94,2021,EN,FT,Data Scientist,2200000,INR,29751,IN,50,IN,L,Asia,India,IND,20,77
95,2021,MI,FT,Cloud Data Engineer,120000,SGD,89294,SG,50,SG,L,Asia,Singapore,SGP,1.3667,103.8
96,2021,EN,PT,AI Scientist,12000,USD,12000,BR,100,US,S,Americas,United States,USA,38,-97
97,2021,MI,FT,Financial Data Analyst,450000,USD,450000,US,100,US,L,Americas,United States,USA,38,-97
98,2021,EN,FT,Computer Vision Software Engineer,70000,USD,70000,US,100,US,M,Americas,United States,USA,38,-97
99,2021,MI,FT,Computer Vision Software Engineer,81000,EUR,95746,DE,100,US,S,Americas,United States,USA,38,-97
100,2021,MI,FT,Data Analyst,75000,USD,75000,US,0,US,L,Americas,United States,USA,38,-97
101,2021,SE,FT,Data Engineer,150000,USD,150000,US,100,US,L,Americas,United States,USA,38,-97
102,2021,MI,FT,BI Data Analyst,11000000,HUF,36259,HU,50,US,L,Americas,United States,USA,38,-97
103,2021,MI,FT,Data Analyst,62000,USD,62000,US,0,US,L,Americas,United States,USA,38,-97
104,2021,MI,FT,Data Scientist,73000,USD,73000,US,0,US,L,Americas,United States,USA,38,-97
105,2021,MI,FT,Data Analyst,37456,GBP,51519,GB,50,GB,L,Europe,United Kingdom,GBR,54,-2
106,2021,MI,FT,Research Scientist,235000,CAD,187442,CA,100,CA,L,Americas,Canada,CAN,60,-95
107,2021,SE,FT,Data Engineer,115000,USD,115000,US,100,US,S,Americas,United States,USA,38,-97
108,2021,SE,FT,Data Engineer,150000,USD,150000,US,100,US,M,Americas,United States,USA,38,-97
109,2021,EN,FT,Data Engineer,2250000,INR,30428,IN,100,IN,L,Asia,India,IND,20,77
110,2021,SE,FT,Machine Learning Engineer,80000,EUR,94564,DE,50,DE,L,Europe,Germany,DEU,51,9
111,2021,SE,FT,Director of Data Engineering,82500,GBP,113476,GB,100,GB,M,Europe,United Kingdom,GBR,54,-2
112,2021,SE,FT,Lead Data Engineer,75000,GBP,103160,GB,100,GB,S,Europe,United Kingdom,GBR,54,-2
113,2021,EN,PT,AI Scientist,12000,USD,12000,PK,100,US,M,Americas,United States,USA,38,-97
114,2021,MI,FT,Data Engineer,38400,EUR,45391,NL,100,NL,L,Europe,Netherlands,NLD,52.5,5.75
115,2021,EN,FT,Machine Learning Scientist,225000,USD,225000,US,100,US,L,Americas,United States,USA,38,-97
116,2021,MI,FT,Data Scientist,50000,USD,50000,NG,100,NG,L,Africa,Nigeria,NGA,10,8
117,2021,MI,FT,Data Science Engineer,34000,EUR,40189,GR,100,GR,M,Europe,Greece,GRC,39,22
118,2021,EN,FT,Data Analyst,90000,USD,90000,US,100,US,S,Americas,United States,USA,38,-97
119,2021,MI,FT,Data Engineer,200000,USD,200000,US,100,US,L,Americas,United States,USA,38,-97
